Title,URL,Abstract,Study type,Single arm/treatment Exclusion,Protocol only,Observational study,Treatment,Comparator 1,Comparator 2,Comparator 3,Population,Primary outcome,
Phase II Trial of Carboplatin and Pemetrexed Plus Bevacizumab with Maintenance Bevacizumab as a First-line Treatment for Advanced Non-squamous Non-small Cell Lung Cancer in Elderly Patients.,/pubmed/29848743,"BACKGROUND/AIM: The combination of platinum-doublet chemotherapy with bevacizumab
has been established as a first-line treatment option in non-elderly patients
with non-squamous (non-sq) non-small cell lung cancer (NSCLC). However, the
safety and efficacy of this regimen have not yet been fully established in
elderly patients.
PATIENTS AND METHODS: Chemo-na´ve patients with non-sq NSCLC, aged _75 years,
having a good performance status (Eastern Cooperative Oncology Group performance 
status 0-1) and adequate organ function were considered eligible. Patients
received carboplatin (area under the curve=5 mg/ml/min), pemetrexed (500 mg/m2), 
and bevacizumab (15 mg/kg) every 3 weeks for up to 4 cycles, followed by
maintenance bevacizumab. The primary endpoint was the objective response rate
(ORR; target=50%, threshold=30%; Simon's two-stage design), and the secondary
endpoints were safety, progression-free survival (PFS), and overall survival
(OS).
RESULTS: Twelve patients were enrolled from June 2013 to July 2017. The study was
closed because of slow patient accrual. The median patient age was 80 years.
Eleven patients (92%) completed 4 cycles of induction chemotherapy. Seven
patients achieved a partial response (PR), yielding an ORR of 58%. The median PFS
was 8.4 [95% confidence interval (CI)=4.4-10.5] months, and the median OS was
33.9 (95%CI=13.2-43.3) months. Toxicities were generally mild and consistent with
previous reports. There were no treatment-related deaths.
CONCLUSION: A regimen comprising carboplatin and pemetrexed plus bevacizumab
followed by maintenance bevacizumab is feasible and potentially efficacious in
elderly patients with non-sq NSCLC.",RCT,,,,carboplatin,pemetrexed,bevacizumab,,non-squamous (non-sq) non-small cell lung cancer (NSCLC),objective response rate,
Oral Metronomic Vinorelbine in Advanced Non-small Cell Lung Cancer Patients Unfit for Chemotherapy.,/pubmed/29848729,"AIM: To explore the feasibility and activity of oral metronomic vinorelbine
patients with advanced NSCLC not eligible to standard chemotherapy because of old
age (_70 years), and/or poor Eastern Cooperative Oncology Group performance
status (_2), and/or extensive brain or bone disease, and/or active comorbidities 
(_2) requiring for pharmacological treatment.
PATIENTS AND METHODS: In a prospective phase II not randomized study, patients
with stage IV NSCLC unfit to chemotherapy were treated with oral metronomic
vinorelbine at 30 mg fixed dose three times a week until disease progression.
RESULTS: Fifty patients were treated, 19 (38%) in the first-line setting. Five
patients (11%) experienced a grade 3 toxicity; no grade 4 toxicity occurred.
Overall disease control rate was 32%, 44% and 26% in first and subsequent lines, 
respectively (p=0.39). Median OS and PFS were 7.3 months (95% confidence interval
[CI]=4.7-10.0) and 2.7 months (95%CI=2.0-3.4), respectively.
CONCLUSION: These data support the activity and safety of metronomic vinorelbine 
in a relevant proportion of patients usually excluded from any specific
treatment.",N,,,,,,,,,,
Association of Colonoscopy Adenoma Findings With Long-term Colorectal Cancer Incidence.,/pubmed/29800214,"Importance: Individuals with adenomatous polyps are advised to undergo repeated
colonoscopy surveillance to prevent subsequent colorectal cancer (CRC), but the
relationship between adenomas at colonoscopy and long-term CRC incidence is
unclear.
Objective: To compare long-term CRC incidence by colonoscopy adenoma findings.
Design, Setting, and Participants: Multicenter, prospective cohort study of
participants in the Prostate, Lung, Colorectal, and Ovarian (PLCO) Cancer
randomized clinical trial of flexible sigmoidoscopy (FSG) beginning in 1993 with 
follow-up for CRC incidence to 2013 across the United States. Participants
included 154_900 men and women aged 55 to 74 years enrolled in PLCO of whom
15_935 underwent colonoscopy following their first positive FSG screening result.
